exp_route,location1,term_stop1,location2,term_stop2
X1,2,203344,4,404887
X2,,,,
X3,,,,
X4,,,,
X5,,,,
X7,,,,
X8,,,,
X9,,,,
X10,,,,
X11,,,,
X12,,,,
X42,,,,
X14,,,,
X17A,,,,
X17C,,,,
X17J,,,,
X21,,,,
X22,,,,
X22A,,,,
X23,,,,
X24,,,,
X31,,,,
X27,,,,
X37,,,,
X28,,,,
X38,,,,
BM1,,,,
BM2,,,,
BM3,,,,
BM4,,,,
BM5,,,,
X63,,,,
X64,,,,
X68,,,,
QM1,,,,
QM2,,,,
QM3,,,,
QM4,,,,
QM5,,,,
QM6,,,,
QM7,,,,
QM8,,,,
QM10,,,,
QM11,,,,
QM12,,,,
QM15,,,,
QM16,,,,
QM17,,,,
QM18,,,,
QM20,,,,
QM21,,,,
QM24,,,,
QM25,,,,
QM31,,,,
QM32,,,,
QM34,,,,
QM35,,,,
QM36,,,,
QM40,,,,
QM42,,,,
QM44,,,,
BM5,,,,
BXM1,,,,
BXM2,,,,
BXM3,,,,
BXM4,,,,
BXM6,,,,
BXM7,,,,
BXM8,,,,
BXM9,,,,
BXM10,,,,
BXM11,,,,
BXM18,,,,
X80,,,,
X6,,,,
X13,,,,
X16,,,,
X18,,,,
X20,,,,
X21,,,,
X25,,,,
X26,,,,
X27B,,,,
X28B,,,,
X29,,,,
X32,,,,
X51,,,,
X61,,,,
X66,,,,
X81,,,,
X90,,,,
X92,,,,
R8X,,,,
BXM4A,,,,
BXM7B,,,,
QM1A,,,,
QM2A,,,,
QM22,,,,
QM23,,,,
